teste,hardware,tamanho,batch,repeticoes,tempo_medio_ms,tempo_mediana_ms,tempo_desvio_ms,tempo_min_ms,tempo_max_ms,tempo_p95_ms,throughput_itens_s,speedup_cuda_vs_cpu,memoria_inicio_mb,memoria_fim_mb,gpu_peak_mb,status,observacao,arquivo_origem,modelo,pretrained,categoria_tarefa,execucoes,tempo_total_ms_media,tempo_total_ms_p95,tokens_por_segundo_media,tokens_gerados_media,taxa_falha,ram_processo_mb_pico_medio,gpu_media_media,vram_mb_pico_medio
torch_modelo_real_inferencia,CPU,3x224x224,8,10.0,85.9452,84.1719,8.653,75.3094,104.2895,98.6857,93.0826,,781.54,781.56,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,16,10.0,161.7966,157.7057,12.1765,150.1504,184.3518,184.0124,98.8896,,868.13,941.73,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,32,10.0,342.2491,343.5502,57.2113,285.1388,475.7456,428.6694,93.4992,,1205.46,1194.66,0.0,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,1,10.0,23.7166,22.7522,4.6768,18.0399,32.6213,31.5811,42.1646,0.8883,1521.1,1521.32,32.23,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,8,10.0,20.1475,18.9458,4.0597,17.3159,29.8572,27.4274,397.0716,4.2658,1569.01,1569.01,105.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,16,10.0,32.7741,32.7695,0.2069,32.4347,33.226,33.0767,488.1904,4.9367,1569.5,1569.5,191.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,32,10.0,64.791,64.7412,0.1741,64.5132,65.1338,65.057,493.8958,5.2824,1595.57,1595.57,361.7,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,mobilenet_v2,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,1,10.0,75.9228,70.9985,12.2441,63.1401,98.6396,96.6808,13.1713,,1614.44,1614.46,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,8,10.0,370.311,362.844,24.7237,336.7397,410.575,403.1713,21.6035,,1593.99,1593.99,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,16,10.0,655.0048,663.8289,47.5345,577.9446,720.4238,708.8557,24.4273,,1574.82,1574.39,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CPU,3x224x224,32,10.0,1224.0703,1224.9277,14.2682,1205.2985,1244.277,1242.6853,26.1423,,1583.36,1583.48,not_available,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,1,10.0,8.2802,8.1932,0.2771,7.926,8.7685,8.6867,120.77,9.1692,1548.7,1548.7,63.98,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,8,10.0,15.9859,15.9615,0.0674,15.9134,16.1035,16.0782,500.441,23.1649,1561.64,1561.64,107.32,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,16,10.0,29.4542,29.4207,0.1165,29.2364,29.6105,29.6078,543.2162,22.2381,1564.58,1564.58,162.95,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
torch_modelo_real_inferencia,CUDA,3x224x224,32,10.0,55.3696,55.3813,0.2483,54.9295,55.6739,55.667,577.9345,22.1073,1565.25,1565.26,268.2,ok,"Arquitetura real com entrada sintetica e sem pesos pretrained; mede desempenho da arquitetura, nao acuracia.",benchmark_modelos_reais.csv,resnet18,False,,,,,,,,,,
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,explicacao_conceitual_curta,3.0,5405.7934,5510.589,39.3411,67.0,0.0,524.89,13.37,619.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,explicacao_tecnica_media,3.0,7286.9181,7376.3498,39.7086,128.0,0.0,524.87,19.24,639.67
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,resumo_texto,3.0,6966.4425,7013.4776,40.053,112.0,0.0,524.87,20.1,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,geracao_codigo_simples,3.0,7087.0671,7100.1601,39.0381,128.0,0.0,524.88,17.29,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,analise_codigo,3.0,7761.3295,7934.1357,36.2778,128.0,0.0,524.86,21.73,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,raciocinio_logico_curto,3.0,5371.2766,5384.0464,40.5967,51.0,0.0,524.88,17.0,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,hardware_ia_local,3.0,7917.4194,8509.9524,32.4546,128.0,0.0,524.89,14.92,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,reescrita_objetiva,3.0,4741.7205,4810.2939,39.7646,33.0,0.0,524.91,10.8,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:1b,,tarefa_longa_uso_real,3.0,7342.3888,7382.3665,38.5214,128.0,0.0,524.93,16.29,649.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,explicacao_conceitual_curta,3.0,4181.5239,4192.9589,36.2497,50.0,0.0,524.94,9.83,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,explicacao_tecnica_media,3.0,6690.0715,7326.9168,33.05,128.0,0.0,525.08,13.71,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,resumo_texto,3.0,3421.4545,3463.2296,36.7894,25.0,0.0,525.09,11.42,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,geracao_codigo_simples,3.0,7198.0578,7419.3846,28.6555,128.0,0.0,525.11,12.05,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,analise_codigo,3.0,7702.7115,7779.5588,26.2549,128.0,0.0,525.13,11.52,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,raciocinio_logico_curto,3.0,4051.6129,4072.0997,36.4077,45.0,0.0,525.14,10.83,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,hardware_ia_local,3.0,7366.5921,7519.5077,27.8393,128.0,0.0,525.15,13.14,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,reescrita_objetiva,3.0,3365.9816,3422.9539,37.1118,23.0,0.0,525.17,9.61,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:1b,,tarefa_longa_uso_real,3.0,6229.6222,6257.4285,36.8821,128.0,0.0,525.18,14.83,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,explicacao_conceitual_curta,3.0,7501.3109,7687.9514,19.4707,91.0,0.0,525.2,7.89,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,explicacao_tecnica_media,3.0,13506.7285,14633.9764,12.1467,128.0,0.0,525.23,5.34,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,resumo_texto,3.0,14129.4154,15303.5898,11.3402,128.0,0.0,525.28,5.62,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,geracao_codigo_simples,3.0,6538.9915,7180.2136,18.3755,67.0,0.0,525.3,6.74,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,analise_codigo,3.0,9930.6332,10454.9962,18.0812,128.0,0.0,525.31,7.86,623.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,raciocinio_logico_curto,3.0,11192.3131,13137.8781,11.857,95.0,0.0,525.34,4.94,625.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,hardware_ia_local,3.0,12891.1791,13858.6944,12.8008,128.0,0.0,525.37,6.21,625.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,reescrita_objetiva,3.0,3810.2798,3852.1937,20.8391,22.0,0.0,525.39,5.67,625.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,llama3.2:3b,,tarefa_longa_uso_real,3.0,9782.5976,10177.6032,18.3395,128.0,0.0,525.41,7.93,625.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,explicacao_conceitual_curta,3.0,8737.1541,8802.3906,13.9759,70.0,0.0,525.44,0.0,167.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,explicacao_tecnica_media,3.0,16581.3549,17030.6071,12.8714,128.0,0.0,525.47,14.31,177.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,resumo_texto,3.0,23961.9596,25571.2336,7.4389,128.0,0.0,525.52,11.81,177.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,geracao_codigo_simples,3.0,15789.4579,16120.911,11.1781,128.0,0.0,525.56,0.2,177.0
,,,,,,,,,,,,,,,,ok,,benchmark_ollama_llms.csv,gemma3:4b,,analise_codigo,3.0,22942.2301,26401.8659,8.4175,128.0,0.0,525.61,12.87,177.0
